,id,date,price,zipcode,median_price_zipcode,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,sqft_above,sqft_basement,yr_built,yr_renovated,option_buy
0,7129300520,2014-10-13,221900.0,98178,278277.0,3,1.0,1180,5650,1.0,no,3,1180.0,0,1955,0,buy
1,5631500400,2015-02-25,180000.0,98028,445000.0,2,1.0,770,10000,1.0,no,3,770.0,0,1933,0,buy
2,1954400510,2015-02-18,510000.0,98074,642000.0,3,2.0,1680,8080,1.0,no,3,1680.0,0,1987,0,buy
3,1321400060,2014-06-27,257500.0,98003,267475.0,3,2.25,1715,6819,2.0,no,3,1715.0,0,1995,0,buy
4,2414600126,2015-04-15,229500.0,98146,305000.0,3,1.0,1780,7470,1.0,no,3,1050.0,730,1960,0,buy
5,3793500160,2015-03-12,323000.0,98038,342000.0,3,2.5,1890,6560,2.0,no,3,1890.0,0,2003,0,buy
6,9212900260,2014-05-27,468000.0,98115,567000.0,2,1.0,1160,6000,1.0,no,4,860.0,300,1942,0,buy
7,114101516,2014-05-28,310000.0,98028,445000.0,3,1.0,1430,19901,1.5,no,4,1430.0,0,1927,0,buy
8,6054650070,2014-10-07,400000.0,98074,642000.0,3,1.75,1370,9680,1.0,no,4,1370.0,0,1977,0,buy
9,1875500060,2014-07-31,395000.0,98019,401250.0,3,2.0,1890,14040,2.0,no,3,1890.0,0,1994,0,buy
10,6865200140,2014-05-29,485000.0,98103,550000.0,4,1.0,1600,4300,1.5,no,4,,0,1916,0,buy
11,16000397,2014-12-05,189000.0,98002,235000.0,2,1.0,1200,9850,1.0,no,4,1200.0,0,1921,0,buy
12,7983200060,2015-04-24,230000.0,98003,267475.0,3,1.0,1250,9774,1.0,no,4,1250.0,0,1969,0,buy
13,7137970340,2014-07-03,285000.0,98092,309780.0,5,2.5,2270,6300,2.0,no,3,2270.0,0,1995,0,buy
14,8091400200,2014-05-16,252700.0,98030,282255.0,2,1.5,1070,9643,1.0,no,3,1070.0,0,1985,0,buy
15,1202000200,2014-11-03,233000.0,98002,235000.0,3,2.0,1710,4697,1.5,no,5,1710.0,0,1941,0,buy
16,3303700376,2014-12-01,667000.0,98112,915000.0,3,1.0,1400,1581,1.5,no,5,1400.0,0,1909,0,buy
17,5101402488,2014-06-24,438000.0,98115,567000.0,3,1.75,1520,6380,1.0,no,3,790.0,730,1948,0,buy
18,2426039314,2014-12-01,280000.0,98133,375000.0,2,1.5,1190,1265,3.0,no,3,1190.0,0,2005,0,buy
19,7589200193,2014-11-10,535000.0,98117,544000.0,3,1.0,1090,3000,1.5,no,4,1090.0,0,1929,0,buy
20,7955080270,2014-12-03,322500.0,98058,335000.0,4,2.75,2060,6659,1.0,no,3,1280.0,780,1981,0,buy
21,5547700270,2014-07-15,625000.0,98074,642000.0,4,2.5,2570,5520,2.0,no,3,2570.0,0,2000,0,buy
22,9270200160,2014-10-28,685000.0,98119,744975.0,3,1.0,1570,2280,2.0,no,3,1570.0,0,1922,0,buy
23,1432701230,2014-07-29,309000.0,98058,335000.0,3,1.0,1280,9656,1.0,no,4,920.0,360,1959,0,buy
24,8945200830,2015-03-25,210490.0,98023,268450.0,3,1.0,990,8528,1.0,no,3,990.0,0,1966,0,buy
25,9215400105,2015-04-28,450000.0,98115,567000.0,3,1.75,1250,5963,1.0,no,4,1250.0,0,1953,0,buy
26,5245600105,2014-09-16,228000.0,98148,278000.0,3,1.0,1190,9199,1.0,no,3,1190.0,0,1955,0,buy
27,7231300125,2015-02-17,345000.0,98056,380000.0,5,2.5,3150,9134,1.0,no,4,1640.0,1510,1966,0,buy
28,8079040320,2015-02-23,430000.0,98059,435000.0,4,3.0,1850,9976,2.0,no,3,1850.0,0,1991,0,buy
29,9528102996,2014-12-07,549000.0,98115,567000.0,3,1.75,1540,1044,3.0,no,3,1540.0,0,2014,0,buy
30,1189001180,2014-06-03,425000.0,98122,572000.0,3,2.25,1660,6000,1.0,no,3,1110.0,550,1979,0,buy
31,3253500160,2014-11-20,317625.0,98144,450000.0,3,2.75,2770,3809,1.5,no,5,1770.0,1000,1925,0,buy
32,3394100030,2014-09-09,975000.0,98004,1150000.0,4,2.5,2720,11049,2.0,no,3,2720.0,0,1989,0,buy
33,1274500060,2014-08-25,204000.0,98042,292000.0,3,1.0,1000,12070,1.0,no,4,1000.0,0,1968,0,buy
34,1049000060,2015-01-05,325000.0,98034,445950.0,3,2.0,1260,5612,1.0,no,4,1260.0,0,1972,0,buy
35,4036801170,2014-10-13,380000.0,98008,545000.0,4,1.75,1760,7300,1.0,no,3,880.0,880,1956,0,buy
36,2391600320,2015-04-20,480000.0,98116,562750.0,3,1.0,1040,5060,1.0,no,3,1040.0,0,1941,0,buy
37,9418400240,2014-10-28,355000.0,98118,367500.0,2,1.0,2020,6720,1.0,no,3,1010.0,1010,1948,0,buy
38,1523059105,2015-01-28,356000.0,98059,435000.0,3,1.5,1680,8712,1.0,no,3,1680.0,0,1964,0,buy
39,1133000671,2014-06-02,315000.0,98125,425000.0,3,1.0,960,6634,1.0,no,3,960.0,0,1952,0,buy
