,index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,seasons,option_buy,median_price_zipcode,sell_price_summer,sell_price_winter,sell_price_autumn,sell_price_spring
0,0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,no,0,3,7,1180.0,0,1955,0,98178,47.5112,-122.257,1340,5650,10-13,autumn,buy,278277.0,288470.0,288470.0,288470.0,288470.0
1,2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,no,0,3,6,770.0,0,1933,0,98028,47.7379,-122.233,2720,8062,02-25,winter,buy,445000.0,234000.0,234000.0,234000.0,234000.0
2,4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,no,0,3,8,1680.0,0,1987,0,98074,47.6168,-122.045,1800,7503,02-18,winter,buy,642000.0,663000.0,663000.0,663000.0,663000.0
3,6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,no,0,3,7,1715.0,0,1995,0,98003,47.3097,-122.327,2238,6819,06-27,summer,buy,267475.0,334750.0,334750.0,334750.0,334750.0
4,8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,no,0,3,7,1050.0,730,1960,0,98146,47.5123,-122.337,1780,8113,04-15,spring,buy,305000.0,298350.0,298350.0,298350.0,298350.0
5,9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,no,0,3,7,1890.0,0,2003,0,98038,47.3684,-122.031,2390,7570,03-12,winter,buy,342000.0,419900.0,419900.0,419900.0,419900.0
6,11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,no,0,4,7,860.0,300,1942,0,98115,47.69,-122.292,1330,6000,05-27,spring,buy,567000.0,608400.0,608400.0,608400.0,608400.0
7,12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,no,0,4,7,1430.0,0,1927,0,98028,47.7558,-122.229,1780,12697,05-28,spring,buy,445000.0,403000.0,403000.0,403000.0,403000.0
8,13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,no,0,4,7,1370.0,0,1977,0,98074,47.6127,-122.045,1370,10208,10-07,autumn,buy,642000.0,520000.0,520000.0,520000.0,520000.0
9,16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,no,0,3,7,1890.0,0,1994,0,98019,47.7277,-121.962,1890,14018,07-31,summer,buy,401250.0,513500.0,434500.00000000006,513500.0,513500.0
10,17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,no,0,4,7,,0,1916,0,98103,47.6648,-122.343,1610,4300,05-29,spring,buy,550000.0,630500.0,630500.0,630500.0,630500.0
